line,pred,y,n_fields,population
C1.497.107,9.99286334987388,2.9051175,7,497
C1.454.164,9.982592188997147,12.539485,8,454
C1.453.158,9.97981959350609,11.272284,6,453
C1.479.109,9.978619359555184,-4.7988653,6,479
C1.497.60,9.978199962890436,-6.6202097,8,497
C1.454.156,9.97385093774111,1.5537226,8,454
C1.463.83,9.959599546152889,5.0476737,6,463
C1.454.147,9.946584798726878,-4.12154,8,454
C1.454.70,9.94161360805073,2.77971,8,454
C1.497.177,9.935974498726246,2.2690403,8,497
C1.479.38,9.935786060286631,-7.285015,6,479
C1.454.79,9.933047984768313,10.632547,8,454
C1.454.67,9.927128492143476,-2.601615,8,454
C1.454.166,9.925960305662887,-17.16644,8,454
C1.459.105,9.920038396831949,-5.8917685,6,459
C1.474.94,9.918235375395186,-13.473437,8,474
C1.479.24,9.91406446104298,-6.519732,6,479
C1.479.145,9.90929662520621,-5.1605988,12,479
C1.454.73,9.906115035340328,-11.09845,7,454
C1.474.70,9.88943416567614,15.923663,8,474
C1.454.49,9.885423177620357,-3.9609149,8,454
C1.474.142,9.88188959781561,-9.954237,8,474
C1.497.208,9.872098266158542,-11.532222,8,497
C1.479.13,9.865684407698499,-3.2673986,6,479
C1.479.37,9.857366998202073,-14.576565,6,479
C1.479.16,9.841909518750692,-5.2238984,6,479
C1.454.92,9.84091753774798,3.5654356,7,454
C1.479.88,9.83979586347001,-2.053382,6,479
C1.479.101,9.838524887501976,-12.548265,6,479
C1.479.124,9.838299649689947,6.1585846,6,479
C1.454.169,9.827185494495234,-10.5760145,8,454
C1.497.161,9.813390578542538,-5.2813096,8,497
C1.454.48,9.812322787294454,-7.30194,8,454
C1.479.120,9.805018348687655,-12.675649,6,479
C1.479.91,9.801614272631662,2.9593349,6,479
C1.454.27,9.797873968632947,5.537698,8,454
C1.454.160,9.795217933480808,-8.272528,8,454
C1.454.133,9.795116003987994,4.165885,8,454
C1.454.95,9.789437840892017,8.952545,7,454
C1.459.236,9.789201018560012,5.7408648,6,459
C1.454.113,9.775408564758074,-4.2423396,8,454
C1.470.67,9.765563238884377,1.8143338,8,470
C1.497.39,9.76448558860075,9.159728,8,497
C1.497.15,9.762680617513743,-14.43186,8,497
C1.463.103,9.75557795720107,15.94054,6,463
C1.474.81,9.750681984510651,3.5717084,7,474
C1.497.186,9.746305229967154,-6.6908503,7,497
C1.497.152,9.742168730116246,4.457178,8,497
C1.497.215,9.733612705459135,-10.870797,8,497
C1.479.2,9.730759394797541,1.5929514,6,479
C1.497.112,9.725950782746644,-2.3481472,8,497
C1.452.161,9.719651874354037,-5.457328,7,452
C1.479.80,9.67541764045711,8.73448,5,479
C1.497.63,9.662393858745247,3.620653,8,497
C1.479.81,9.661365610165017,6.7105513,6,479
C1.454.148,9.657946029660518,-9.837715,8,454
C1.487.62,9.654523462564137,-18.7718,4,487
C1.454.173,9.649037795113937,4.3593783,7,454
C1.463.120,9.634371712226887,3.8349068,6,463
C1.497.55,9.620300840257359,18.74654,8,497
C1.454.101,9.615711672387521,0.35149765,8,454
C1.497.101,9.610299235150437,-8.831622,8,497
C1.454.29,9.607465008936135,2.1367853,8,454
C1.454.28,9.598203673846267,-5.2570577,7,454
C1.463.48,9.597741720227663,11.839692,5,463
C1.497.28,9.596140797001667,-4.2860723,8,497
C1.452.132,9.59275320605741,6.6692576,7,452
C1.470.165,9.590917068351807,-11.056841,8,470
C1.454.137,9.584748937794984,-10.537353,8,454
C1.497.91,9.568625384999407,6.339603,8,497
C1.470.218,9.566263744483733,-9.137178,8,470
C1.454.145,9.564561342988917,2.17651,8,454
C1.454.172,9.563781010088555,5.4030476,8,454
C1.470.198,9.560372322812663,-8.299292,8,470
C1.487.66,9.559454848734745,-1.9210391,5,487
C1.487.65,9.541365151059109,-12.061959,5,487
C1.479.102,9.538062676725895,-11.577229,4,479
C1.454.97,9.536444306611667,-4.2351775,8,454
C1.463.67,9.533545309518104,-3.6956775,5,463
C1.454.88,9.52756920557937,3.9687226,8,454
C1.474.101,9.520541666438609,-4.6867046,7,474
C1.474.19,9.519995107732926,7.6049633,8,474
C1.454.139,9.516953490489882,0.7509747,7,454
C1.470.43,9.506288611242557,10.068059,8,470
C1.470.75,9.497048590317005,-1.2724333,7,470
C1.454.41,9.495204526447969,-9.176979,7,454
C1.479.56,9.495005333575461,10.531852,6,479
C1.452.139,9.489610195928787,-0.37711683,8,452
C1.452.170,9.480670077724668,3.655908,8,452
C1.454.126,9.479031147328312,-9.035715,8,454
C1.479.77,9.476603476118447,-1.8018819,6,479
C1.453.67,9.468646749971986,-4.722783,6,453
C1.452.153,9.4626678237633,3.8845081,8,452
C1.454.170,9.458999272919398,-7.5133824,7,454
C1.479.27,9.450222625277787,6.8619013,6,479
C1.463.105,9.43803488698183,16.348074,6,463
C1.463.132,9.425978714223767,6.03029,6,463
C1.474.17,9.421537797745168,-3.7846367,8,474
C1.454.112,9.416732410118849,10.05231,8,454
C1.454.17,9.412343797511914,-12.786707,7,454
C1.497.13,9.409993643207036,3.4105153,8,497
C1.454.35,9.40207320787386,-5.61149,8,454
C1.479.59,9.400164515615074,-8.886449,6,479
C1.454.178,9.399683727129855,-3.1838398,8,454
C1.470.219,9.398977303543619,-9.523153,8,470
C1.470.202,9.392570341828458,11.716766,7,470
C1.463.87,9.382339294523911,8.756424,6,463
C1.497.58,9.374921132404918,-13.696722,8,497
C1.463.58,9.37488347313936,-8.631428,5,463
C1.497.1,9.369202697162626,-2.4437597,8,497
C1.461.220,9.361244356658986,4.7570295,5,461
C1.497.114,9.360331406577934,-7.9897346,8,497
C1.470.169,9.360200934204935,0.8040088,8,470
C1.452.165,9.356802552530691,16.3938,7,452
C1.479.73,9.33790695741142,-2.139232,6,479
C1.474.199,9.328058896577502,-7.2252116,8,474
C1.497.189,9.320715048843033,-6.7518597,8,497
C1.487.61,9.320522354195484,-15.0979395,5,487
C1.470.294,9.320319096102883,8.583038,7,470
C1.497.126,9.316805767270758,7.2168155,8,497
C1.454.56,9.313133414165426,-0.47600234,8,454
C1.479.113,9.312405151974142,-11.434149,6,479
C1.459.239,9.304246156057765,-8.827502,6,459
C1.454.167,9.302910885281445,6.4504094,7,454
C1.497.98,9.29432231368568,5.5639153,8,497
C1.487.57,9.292755573248254,19.030193,4,487
C1.479.64,9.291478971106194,10.233952,6,479
C1.452.53,9.291244542003506,-5.527495,7,452
C1.452.85,9.289537220506347,2.9016082,8,452
C1.454.105,9.281650837677507,4.1141977,8,454
C1.497.3,9.276106976878046,-10.593147,8,497
C1.496.174,9.272289632673616,3.528976,6,496
C1.497.205,9.264798898801029,-5.388522,8,497
C1.454.104,9.259048410000402,-2.1608253,7,454
C1.479.71,9.252589147246573,-6.1081653,6,479
C1.487.90,9.250883899248159,-17.37744,5,487
C1.497.50,9.250081558841496,-6.2985845,8,497
C1.474.93,9.249369968301565,0.70615065,8,474
